Armazem;Deposito;         ;Produto;Descricao;Unidade;Saldo Anterior;Entradas;Saidas;Saldo Atual;Transito;Disponivel;Inventario;Diferenca;Diferenca Congelamento;Trans_Ant;Trans_Ant_nao_carregado;Trans_Dia_nao_carregado;Comodato OP03;Venda Vas OP85;Valorizacao;Sinal;               ;               ;               ;               ;               ;Saldo Unitário ;               ;               ;               ;               ;               ;               ;               ;Sub-Depósitos  ;Saldo Atual Real;Saldo Grade Real
01;20;000;00002319;GUARANA CHP ANTARCTICA PET 1L CAIXA C/12     ;cx  ;     14.033/04 ;         10/00;          0/00;     14.043/04 ;      1.550/00 ;     12.493/04 ;          0/00 ;     12.493/04-;          0/00 ;          6/00 ;          0/00 ;        504/00 ;          0/00 ;          0/00 ;00000317705,4667166;-;  ;     ;                   ;                   ;                   ; 00000149920;            ;                   ;                   ;                   ;                   ;                   ;                   ;      2.512/00 ;     11.531/04 ;      9.981/04 
01;20;000;00002320;SODA LIMONADA ANTARCTICA PET 1L CAIXA C/12   ;cx  ;      1.011/07 ;          2/00;          0/00;      1.013/07 ;         31/00 ;        982/07 ;          0/00 ;        982/07-;          0/00 ;          5/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000026087,5875000;-;  ;     ;                   ;                   ;                   ; 00000011791;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.013/07 ;        982/07 
01;20;000;00002349;GUARANA CHP ANTARCTICA PET 2L CAIXA C/6      ;cx  ;     33.187/01 ;         12/00;          0/00;     33.199/01 ;        696/02 ;     32.502/05 ;          0/00 ;     32.502/05-;          0/00 ;        161/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000636405,4766016;-;  ;     ;                   ;                   ;                   ; 00000195017;            ;                   ;                   ;                   ;                   ;                   ;                   ;        561/00 ;     32.638/01 ;     31.941/05 
01;20;000;00002350;SODA LIMONADA ANTARCTICA PET 2L CAIXA C/6    ;cx  ;        277/00 ;          1/00;          0/00;        278/00 ;         41/01 ;        236/05 ;          0/00 ;        236/05-;          0/00 ;         36/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000004412,2050000;-;  ;     ;                   ;                   ;                   ; 00000001421;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;        278/00 ;        236/05 
01;20;000;00002353;GUARANA CHP ANTARCTICA DIET PET 2L CAIXA C/6 ;cx  ;      7.620/02 ;          3/00;          0/00;      7.623/02 ;        209/00 ;      7.414/02 ;          0/00 ;      7.414/02-;          0/00 ;        179/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000149176,3866518;-;  ;     ;                   ;                   ;                   ; 00000044486;            ;                   ;                   ;                   ;                   ;                   ;                   ;        200/00 ;      7.423/02 ;      7.214/02 
01;20;000;00002538;ANTARCTICA PILSEN 600ML                      ;Dz  ;          8/01 ;          0/00;          0/00;          8/01 ;          0/00 ;          8/01 ;          0/00 ;          8/01-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000286,7158333;-;  ;     ;                   ;                   ;                   ; 00000000097;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          8/01 ;          8/01 
01;20;000;00002544;EXTRA SERRAMALTE 600ML                       ;Dz  ;          0/10 ;          0/00;          0/00;          0/10 ;          0/00 ;          0/10 ;          0/00 ;          0/10-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000033,7583333;-;  ;     ;                   ;                   ;                   ; 00000000010;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/10 ;          0/10 
01;20;000;00002546;ORIGINAL 600ML                               ;Dz  ;     11.739/09 ;         14/00;          0/00;     11.753/09 ;        226/00 ;     11.527/09 ;          0/00 ;     11.527/09-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000478632,1800000;-;  ;     ;                   ;                   ;                   ; 00000138333;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;     11.753/09 ;     11.527/09 
01;20;000;00002548;BUDWEISER 600ML                              ;Dz  ;      6.148/10 ;          2/00;          0/00;      6.150/10 ;        236/00 ;      5.914/10 ;          0/00 ;      5.914/10-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000246530,2533096;-;  ;     ;                   ;                   ;                   ; 00000070978;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      6.150/10 ;      5.914/10 
01;20;000;00002585;GUARANA CHP ANTARCTICA GFA VD 1L             ;Dz  ;          2/00-;          0/00;          0/00;          2/00-;          0/00 ;          2/00-;          0/00 ;          2/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000052,9000000; ;  ;     ;                   ;                   ;                   ;-00000000024;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          2/00-;          2/00-
