CodigoProduto;DescricaoProduto;UnidadeMedida;GradeEstoque;GradeCadastrada;Reserva;Saida;SaldoDisponivel
21666;RED BULL TROPICAL BR LATA 250ML FOUR PACK NPAL .;Caixa;1;1083;0;0;1083
21668;SPATEN N ONE WAY 600ML CX C/12 NP ARTE;Caixa;1;3662;0;4;3658
21778;JOHNNIE WALKER RED LABEL GARRAFA VIDRO 750ML;Unidade;1;329;0;0;329
21786;MONTILLA CARTA BRANCA GARRAFA VIDRO 1 L;Unidade;1;642;0;0;642
21789;ORLOFF GARRAFA VIDRO 1 L;Unidade;1;229;0;1;228
21791;PIRASSUNUNGA 51 GARRAFA VIDRO 965ML;Unidade;1;465;0;0;465
21792;WHITE HORSE GARRAFA VIDRO 1 L;Unidade;1;1548;0;0;1548
21886;BEEFEATER LONDON DRY GARRAFA VIDRO 750ML;Unidade;1;55;0;0;55
21946;ORIGINAL LT 269ML SH C15 NPAL;Caixa;1;344;0;0;344
21955;CHIVAS REGAL 12 ANOS GARRAFA VIDRO 1 L;Unidade;1;17;0;0;17
21968;TRIDENT HORTELA ENVELOPE 8G CX C/21;Caixa;1;2335;0;0;2335
21973;TRIDENT MELANCIA ENVELOPE 8G CX C/21;Caixa;1;443;0;0;443
21974;TRIDENT TUTTI-FRUTTI ENVELOPE 8G CX C/21;Caixa;1;586;0;0;586
22003;HALLS CEREJA ENVELOPE 28G CX C/21;Caixa;1;1257;0;0;1257
22005;HALLS MENTA ENVELOPE 28G CX C/21;Caixa;1;740;0;0;740
22007;HALLS EXTRA FORTE ENVELOPE 28G CX C/21;Caixa;1;649;0;0;649
22009;CHICLETE ADAMS HORTELA CAIXINHA 2,8G CX C/100;Caixa;1;27;0;0;27
22177;BUDWEISER ZERO LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;227;0;10;217
22180;BUDWEISER ZERO LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;1;215;0;4;211
22382;PASSPORT SELECTION GARRAFA VIDRO 1 L;Unidade;1;2141;0;0;2141
22501;LARIOS 12 GARRAFA VIDRO 700ML;Unidade;1;11;0;0;11
22505;JIM BEAM HONEY GARRAFA VIDRO 1 L;Unidade;1;246;0;0;246
22507;JIM BEAM FIRE GARRAFA VIDRO 1 L;Unidade;1;37;0;0;37
22562;DOMECQ COQ. COMPOSTO GARRAFA VIDRO 1 L;Unidade;1;41;0;0;41
22830;MONTILLA CARTA OURO GARRAFA VIDRO 1 L;Unidade;1;18;0;0;18
23029;JOHNNIE WALKER BLACK LABEL GARRAFA VIDRO 1 L;Unidade;1;96;0;0;96
23184;PITU AGUARDENTE LT 350ML CX C/12;Caixa;1;2;0;0;2
23186;SPATEN N 600ML;Duzia;1;7479;0;0;7479
23269;SKOL BEATS GT LONG NECK 269ML SIX-PACK SH C/4;Caixa;1;14;0;2;12
23271;SKOL BEATS SENSES LONG NECK 269ML SIX-PACK SH C/4;Caixa;1;217;0;2;215
23443;PITU AGUARDENTE GARRAFA VIDRO 965ML;Unidade;1;2377;0;6;2371
23548;INDAIA AGUA MINERAL C/GAS GFA PET 330ML FD C/12;Caixa;1;5;0;0;5
23550;INDAIA AGUA MINERAL S/GAS GFA PET 330ML FD C/12;Caixa;1;364;0;0;364
23552;INDAIA AGUA MINERAL S/GAS GFA PET 500ML PACK C/12;Caixa;1;57;0;0;57
23672;CERVEGELA PLASTICA BRAHMA 1 UN P/ GFA 600ML CX C/3;Caixa;1;539;0;0;539
23674;CERVEGELA PLASTICA SKOL 1 UN P/ GFA 600ML CX C/3;Caixa;1;106;0;0;106
24168;MICHELOB ULTRA N LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;1;1741;0;2;1739
24256;PETROPOLIS AGUA MIN SEM GAS PET 1,5 SHRINK C/6;Caixa;1;267;0;0;267
24409;QUINTA DO MORGADO VINHO TINTO SUAVE GFA VD 750 ML;Unidade;1;3852;0;0;3852
24410;QUINTA DO MORGADO VINHO BRANCO SUAVE GFA VD 750 ML;Unidade;1;32;0;0;32
24411;QUINTA DO MORGADO VINHO BRANCO SECO GFA VD 750 ML;Unidade;1;60;0;0;60
24603;SAN PELLEGRINO AGUA C GAS GARRAFA VD 250 ML CX24;Caixa;1;5;0;0;5
24604;MINALBA AGUA PREMIUM C/GAS GFA VDR 300ML CX/12;Caixa;1;189;0;0;189
24605;ACQUA PANNA S/G GARRAFA VD 250 ML CX24;Caixa;1;4;0;0;4
24609;MINALBA AGUA PREMIUM S/GAS GFA VDR 300ML CX/12;Caixa;1;357;0;0;357
24613;ACQUA PANNA S/G GARRAFA VD 505 ML CX 24;Caixa;1;27;0;0;27
24645;PERRIER AGUA MIN C GAS GARRAFA DE VIDRO 330ML CX24;Caixa;1;15;0;0;15
25151;OLD PARR WHISKY GFA VDR 1L;Unidade;1;1461;0;0;1461
25160;BLACK & WHITE WHISKY GFA VDR 1L;Unidade;1;12;0;0;12
25174;51 ICE BALADA GARRAFA VD 275ML CX C24;Caixa;1;36;0;0;36
25176;51 ICE FRUIT MIX MORANGO + LARANJA GARRAFA VD 275ML CX C24;Caixa;1;37;0;0;37
25178;51 ICE LIMAO GARRAFA VD 275ML CX C24;Caixa;1;270;0;0;270
25194;CACHACA 51 LT 350ML CX C/12;Caixa;1;155;0;0;155
25198;CACHACA 51 LATA DE ALUMINIO 473ML CX12;Caixa;1;90;0;1;89
25546;GARRAFEIRA PL. AL. LAT. AB. PRETA BEES 1 UN P/ 23 GFA 300ML;Unidade;1;1306;0;0;1306
25837;SPATEN N LT 473ML CX CARTAO C/12;Caixa;1;6489;0;11;6478
26037;MONTILLA CARTA CRISTAL GFA VDR 1L;Unidade;1;943;0;0;943
26099;TRIDENT XFRESH INTENSE ENVELOPE 8G CX21_;Caixa;1;262;0;0;262
26462;ORIGINAL LT 473ML CX CARTAO C/12;Caixa;1;7542;0;10;7532
26941;PITU AGUARDENTE LATA DE ALUMINIO 473ML CX12;Caixa;1;126;0;1;125
27001;GORDONS GIN DRY GFA VD 750 ML;Unidade;1;162;0;0;162
27177;HALLS MENTOL ENVELOPE 28G CX C/21;Caixa;1;23;0;0;23
27179;HALLS MORANGO ENVELOPE 28G CX C/21;Caixa;1;628;0;0;628
27625;RESERVADO VINHO SAUVIGNON BLANC GFA VD 750 ML;Unidade;1;199;0;0;199
27825;DOMUS CONHAQUE GARRAFA VIDRO 900ML;Unidade;1;288;0;0;288
27866;CORONA CERO SUNBREW N LONG NECK 330 ML SP BASKET CX C4;Caixa;1;1330;0;5;1325
28214;MINALBA AGUA MINERAL S/GAS LAT 310ML FD 12;Caixa;1;649;0;0;649
28216;MINALBA AGUA MINERAL C/GAS LAT 310ML FD 12;Caixa;1;224;0;0;224
29253;ORIGINAL GFA VD 1L;Duzia;1;583;0;0;583
29301;INDAIA AGUA MINERAL S/GAS COPO PLAST. 200ML CX48;Caixa;1;65;0;0;65
29580;STELLA ARTOIS PURE GOLD LONG NECK 330ML SP SH C/4;Caixa;1;4293;0;8;4285
29845;PEPSI BLACK PET 1 L SH C/12;Caixa;1;1746;0;20;1726
30045;RED BULL BR LATA 473ML CX C 12;Caixa;1;0;0;0;0
31064;BUDWEISER LT 269ML SH C 15;Caixa;1;735;0;13;722
31856;CORONA EXTRA N LT 473ML CX CARTAO C/12;Caixa;1;774;0;0;774
32067;GATORADE BERRY BLUE PET 500ML SIXPACK;Caixa;1;712;0;7;705
32361;BEATS TROPICAL LONG NECK 269ML SIX-PACK SH C/4;Caixa;1;61;0;3;58
32435;INDAIA BEB MISTA CITRUS UVA GFA PET 1,5L FD C/6;Caixa;1;73;0;0;73
32500;STELLA ARTOIS PURE GOLD LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;2134;0;5;2129
32526;PETROPOLIS AGUA MIN SEM GAS GARRAFA PET 500MLCX C12;Caixa;1;1;0;0;1
32543;ALECRIM VINHO TINTO PORTUGAL GFA VD 750 ML;Unidade;1;312;0;0;312
32549;CHAC CHAC VINHO TINTO MALBEC GFA VD 750 ML;Unidade;1;10;0;0;10
32644;BUBBALOO UVA DISPLAY 5G CX/60;Caixa;1;234;0;0;234
32646;BUBBALOO TUTTI FRUTTI DISPLAY 5G CX/60;Caixa;1;924;0;0;924
32648;BUBBALOO MORANGO DISPLAY 5G CX/60;Caixa;1;82;0;0;82
32854;SMIRNOFF ICE LT 269 ML CX C/24;Caixa;1;55;0;0;55
32969;RED BULL SUMMER MORANGO E PESSEGO LATA 250ML FOUR PACK NPAL;Caixa;1;90;0;0;90
33818;ORIGINAL LATA 350ML SHRINK C/12 MULTPACK;Caixa;1;1446;0;0;1446
33820;BRAHMA CHOPP LATA 350ML SH C/12 NPAL MULTIPACK .;Caixa;1;29;0;0;29
34027;GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL MULTIPACK;Caixa;1;2242;0;0;2242
34296;TRIDENT CANELA ENVELOPE 8G CX C/21;Caixa;1;375;0;0;375
34320;GUARANA ANTARCTICA ZERO LATA 350ML SH C/12 NPAL MULTIPACK;Caixa;1;1;0;0;1
34405;FLORESTAL BALA BRAZILIAN COFFEE PCT PLAST 500G;Unidade;1;781;0;0;781
34410;HALLS UVA VERDE ENVELOPE 28G CX C/21;Caixa;1;147;0;0;147
34412;FLORESTAL BALA MASTIG MINT HORTELA PCT PLAST 500G;Unidade;1;307;0;0;307
34413;FLORESTAL BALA MASTIG MOLE SORT PCT PLAST 500G;Unidade;1;766;0;0;766
34416;FLORESTAL BALA MENTA PCT PLAST 500G;Unidade;1;1117;0;0;1117
34417;FLORESTAL BALINHA CORAC MORANGO PCT PLAST 500G;Unidade;1;671;0;0;671
34420;RED BULL SUMMER MARACUJA E MELAO LATA 250ML FOUR PACK NPAL;Caixa;1;295;0;0;295
34429;RED BULL SUGAR FREE AMORA LATA 250ML FOUR PACK NPAL;Caixa;1;1678;0;0;1678
34432;RED BULL TROPICAL BR LATA 473ML CX C 12;Caixa;1;106;0;0;106
34459;FLORESTAL BALA BRAZILIAN COFFEE PCT PLAST 108G;Unidade;1;477;0;0;477
34475;ELEVE AGUA MIN S GAS GFA PET 510ML FD C/12;Caixa;1;284;0;4;280
34608;SKOL LATA 350ML SH C/12 NPAL MULTIPACK;Caixa;1;1;0;0;1
34654;FLOPITO PIRULITO CORACAO VERMELHO PCT PLAST 500G;Unidade;1;541;0;0;541
34655;POP KISS PIRULITO CEREJA PCT PLAST 500G;Unidade;1;37;0;0;37
34656;FLOPITO PIRULITO CHICLE CEREJA PCT PLAST 500G;Unidade;1;239;0;0;239
34770;RED BULL SUGAR FREE POMELO LATA 250ML FOUR PACK NPAL;Caixa;1;1680;0;0;1680
35003;TRIDENT XFRESH 5S PRETO CEREJA ENVELOPE 8G CX C/21;Caixa;1;187;0;0;187
35108;CERVEGELA PLASTICA SPATEN 1 UN P/ GFA 600ML CX3;Caixa;1;83;0;0;83
35331;BUDWEISER GFA VD 1L;Duzia;1;2987;0;1;2986
35620;BEATS GREEN MIX LONG NECK 269ML SIX-PACK SH C/4;Caixa;1;114;0;1;113
36034;BUDWEISER LT 473ML SH C12 NP MULTIPACK;Caixa;1;9647;0;0;9647
36434;RED BULL ZERO BR LATA 250ML FOUR PACK NPAL;Caixa;1;339;0;0;339
